user,id,text,created_at
@naa_two,1409910088601505796,"@Airtel_Presence @airtelindia
Airtel Xstream connection down for over 4 days. Multiple calls to your customer care… https://t.co/SeIKSIyzJr",2021-06-29 16:22:14+00:00
@naa_two,1407262317948014625,"Levy fine on ordinary citizens, while you roam around the city without a mask. Kindly practice what you preach.… https://t.co/YB3xPeLvOV",2021-06-22 09:00:56+00:00
@naa_two,1380432556382806017,"Stale food, an uncooked item, bad packaging, unprofessional delv exec. And when you want to raise an issue, you mee… https://t.co/mHz6ntObxK",2021-04-09 08:09:03+00:00
@naa_two,1379817978976292864,RT @drharshvardhan: Politicising the important public health issue of #COVID19 &amp; spreading panic regarding vaccine supply is a damning indi…,2021-04-07 15:26:56+00:00
@naa_two,1379420753410486274,"@Dev_Fadnavis @CMOMaharashtra कोणाकडून वचन पाळण्याची अपेक्षा करत होतात? २०१९ च्या विधानसभेच्या निवडणुका विसरलात का! 😆
#Maharashtra #Lockdown",2021-04-06 13:08:30+00:00
@naa_two,1379325094342762498,"Ppl standing in buses, overcrowded autos, fruit sellers on carts. But big stores and malls, where u could ensure so… https://t.co/VWP8cwU2bz",2021-04-06 06:48:23+00:00
@naa_two,1327838725972185090,@nitin_gadkari Wonder if the #fastag implementation at EEH Toll in Mumbai is under the central or the state authori… https://t.co/mEQrzTmZtj,2020-11-15 04:59:56+00:00
@naa_two,1318906590058094592,"3 months exactly, and you pathetic people haven't had the basic sense to at least understand the issue, let alone s… https://t.co/lJKv6nPoVq",2020-10-21 13:26:49+00:00
@naa_two,1312599296932564995,2½ months and no resolution. Bhikhari se bhattar hain yeh log. @JioMart @JioMart_Support #Crap #NeedMyMoneyBack #ShutYourShop @reliancejio,2020-10-04 03:43:53+00:00
@naa_two,1309323330579656704,@TMCaTweetAway Pohocha nahi lagta hai concerned department tak. #Thane @TMCaTweetAway https://t.co/QUpUmoQkH5,2020-09-25 02:46:22+00:00
@naa_two,1307614533091954688,You fraudsters keep raising new service requests &amp; keep making false promises of resolution on priority. Stop dupin… https://t.co/FxFE0w0xo6,2020-09-20 09:36:13+00:00
@naa_two,1307605392382287872,Exactly 2 months since I cancelled my order and you fraudsters have not yet refunded the money. You've convinced me… https://t.co/XgzlPWTwrf,2020-09-20 08:59:54+00:00
@naa_two,1303683807002857478,Priorities. #DeathOfDemocracy @OfficeofUT #MVA https://t.co/uLvVSDk2L6,2020-09-09 13:16:55+00:00
@naa_two,1303664055949750274,50 days today since the order cancellation. Wasted an hour today speaking to your customer care. Everytime I ask fo… https://t.co/CMfJtWpCH1,2020-09-09 11:58:26+00:00
@naa_two,1303317659249815552,45+ days and yet no action @JioMart_Support . Wasted close to 75mins waiting on hold while calling you on your cust… https://t.co/EPks0Hq2JO,2020-09-08 13:01:59+00:00
@naa_two,1302794904658087942,Teen Hath Naka service road or an Iraq warzone? Repair or clear the debris. Lets get the basics correct. #Thane… https://t.co/MFxFYiL0Hp,2020-09-07 02:24:44+00:00
@naa_two,1302219103399157763,"@JioMart_Support What purpose does DMing you the details serve? You haven't even responded to my query.

You keep o… https://t.co/mKoVqeIlEz",2020-09-05 12:16:42+00:00
@naa_two,1301048485743980544,Been over 40 days now. Still no refund. Please up your customer service game. Absolutely terrible experience.… https://t.co/V16eD9D59Y,2020-09-02 06:45:05+00:00
@naa_two,1295265898375217154,@Oke_the_Pushkar @JioMart_Support True. Any other online retailer would be better than #JioMart. These guys don't e… https://t.co/BD8RCU6JYm,2020-08-17 07:47:09+00:00
@naa_two,1295256518841884672,"@JioMart_Support If you're going to be this bad, seriously shut the shop. I, for one, am certainly never going to b… https://t.co/fl7sGjQup3",2020-08-17 07:09:53+00:00
@naa_two,1295256518841884672,"@JioMart_Support If you're going to be this bad, seriously shut the shop. I, for one, am certainly never going to b… https://t.co/fl7sGjQup3",2020-08-17 07:09:53+00:00
@naa_two,1295256088682496001,@JioMart_Support Why is it almost impossible to reach you guys on the customer helpline? You guys haven't refunded… https://t.co/qI1tC8qL1x,2020-08-17 07:08:10+00:00
@naa_two,1286223526035251201,There r power cuts evry other day since the start of lockdown in March in Thane. The situation hasnt improved one b… https://t.co/5uYRE5qQbm,2020-07-23 08:56:00+00:00
@naa_two,1263173764235194368,@MSEDCL Can your shit service every get me uninterrupted electricity supply? Been facing power cuts every single da… https://t.co/vLowK0GP72,2020-05-20 18:24:28+00:00
@naa_two,1230844323954118656,"Don't just think great ideas, implement them as well. All fastag and non fastag cars getting mixed up leading to bi… https://t.co/8USVcbBPyH",2020-02-21 13:18:49+00:00
@naa_two,1193833928433397760,"@Oke_the_Pushkar @ShivsenaComms @Dev_Fadnavis Cant let a bunch of opportunistic traitors hold the state, its people… https://t.co/9BmemjEV7n",2019-11-11 10:12:43+00:00
@naa_two,1193786617913171968,"#ShivSenaCheatsMaharashtra
Nice bit of backstabbing there @ShivsenaComms. The only reason many people even voted yo… https://t.co/IqcmkeaDAK",2019-11-11 07:04:43+00:00
@naa_two,1175152354997325824,"Why am I, as a law abiding citizen who is not causing any disturbance to public, required to evacuate from the Mari… https://t.co/gumr3lZILm",2019-09-20 20:58:49+00:00
@naa_two,1119619083647930368,"@Uber_India Dafaq😂
@MumbaiPolice https://t.co/dVJDeC2KU2",2019-04-20 15:09:25+00:00
@naa_two,998674319348719616,"@airindiain @jayantsinha Been 4 days since I filled that feedback. No acknowledgement whatsoever, resolution is way… https://t.co/LhwkLPdT8j",2018-05-21 21:18:06+00:00
@naa_two,997077323966046208,"Flew IX243 from BOM to DOH on 17/05/18. Very poor experience. Rattling cabin, bad odours. The cabin crew didn't eve… https://t.co/2Z3xPMVCa1",2018-05-17 11:32:13+00:00
@naa_two,895295188733575168,@GhaisasRohit @Dev_Fadnavis @BJP4India Yes. They are. Bullshit.,2017-08-09 14:46:21+00:00
@naa_two,895288528254390273,"Alas! Never thought you'd bow down to such requests. Disappointed. @Dev_Fadnavis @BJP4India #MarathaMorcha #GrowUp

 https://t.co/XCYoV2RhA0",2017-08-09 14:19:53+00:00
