,user_id,user,tweet_id,text,location,date,clean_text,polarity,subjectivity,sentiment,neg,neu,pos,compound,topic_id,topic
0,3295393856,evens_jason,1445941614950502403,@JohnMil80462729 @1am_Adriana @FoxNews Typically when a report comes out regarding a % capacity of ICU beds…the rep… https://t.co/cHIR7suctA,,2021-10-07 02:38:39+00:00,adriana typically when a report comes out regarding a capacity of icu beds the rep,-0.16666666666666666,0.5,neutral,0.0,1.0,0.0,0.0,5,5
1,1432096972819681282,America4True777,1445940977496047618,"Despite “news” advertised in past several weeks by MSM .. 
@FoxNews
 and 
@Newsmax
 included ..the FDA has NOT “app… https://t.co/u0P6lUvgUz",,2021-10-07 02:36:07+00:00,despite news advertised in past several weeks by msm and included the fda has not app,-0.125,0.125,neutral,0.0,1.0,0.0,0.0,1,1
2,1088585923321831424,JohnMil80462729,1445937600276140032,@evens_jason @1am_Adriana @FoxNews Your tribe booed Lindsay Graham when he said to think about getting a vaccine be… https://t.co/zg5AesjXZx,,2021-10-07 02:22:42+00:00,jason adriana your tribe booed lindsay graham when he said to think about getting a vaccine be,0.0,0.0,neutral,0.0,1.0,0.0,0.0,0,0
3,389871683,logancolin,1445935726948864000,@RaymondArroyo @IngrahamAngle @FoxNews Not once in your opening segment did you mention the delta variant…and you c… https://t.co/T6dQVJ4r8h,,2021-10-07 02:15:16+00:00,not once in your opening segment did you mention the delta variant and you c,0.0,0.0,neutral,0.0,1.0,0.0,0.0,2,2
4,918255789378342917,bob30285497,1445933582875299844,"353,000 deaths due to covid in 2021; where are you Mr.Biden? This is your time! @JoeBiden @MSNBC @CNN @FoxNews",,2021-10-07 02:06:44+00:00,353 000 deaths due to covid in 2021 where are you mr biden this is your time,-0.125,0.375,neutral,0.0,1.0,0.0,0.0,4,4
5,38424051,LeonRyan,1445932498098163713,@moneyhungery4 @HGassole @FoxNews So it's not about the guns.  That's what I was getting at.  Nobody is ripping kid… https://t.co/bYygi9Okbs,,2021-10-07 02:02:26+00:00,so it s not about the guns that s what i was getting at nobody is ripping kid,0.0,0.0,neutral,0.0,1.0,0.0,0.0,1,1
6,1192588890017656833,moneyhungery4,1445931218344632321,@LeonRyan @HGassole @FoxNews What’s happening there right now with the government!! Ripping kids from homes do to c… https://t.co/s5O2uATs2z,,2021-10-07 01:57:21+00:00,what s happening there right now with the government ripping kids from homes do to c,0.2857142857142857,0.5357142857142857,neutral,0.0,1.0,0.0,0.0,8,8
7,1420260330786234368,NajemyNicky,1445921615112548352,@ChrisCuomo @cnn @FoxNews @seanhannity @IngrahamAngle CHRIS U SAID MORE DEATHS FROM COVID LAST 2 YRS. I THOUGHT BID… https://t.co/p6WIfYRJqG,,2021-10-07 01:19:11+00:00,chris u said more deaths from covid last 2 yrs i thought bid,0.25,0.2833333333333333,neutral,0.0,1.0,0.0,0.0,9,9
8,1433461512866254853,Kinring5,1445920972033249282,"@FoxNews PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director… https://t.co/zvkjo2uaDU",,2021-10-07 01:16:38+00:00,pfizer leaks whistleblower goes on record reveals emails from chief scientific officer amp senior director,0.0,0.0,neutral,0.0,1.0,0.0,0.0,3,3
9,1433461512866254853,Kinring5,1445920247651966976,"@FoxNews PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director… https://t.co/0pjxzzW10C",,2021-10-07 01:13:45+00:00,pfizer leaks whistleblower goes on record reveals emails from chief scientific officer amp senior director,0.0,0.0,neutral,0.0,1.0,0.0,0.0,3,3
10,1433461512866254853,Kinring5,1445919998157938690,"@FoxNews PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director… https://t.co/7PHDaqT3M2",,2021-10-07 01:12:46+00:00,pfizer leaks whistleblower goes on record reveals emails from chief scientific officer amp senior director,0.0,0.0,neutral,0.0,1.0,0.0,0.0,3,3
11,1433461512866254853,Kinring5,1445919558632681472,"@FoxNews PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director… https://t.co/H6kGY1dsD5",,2021-10-07 01:11:01+00:00,pfizer leaks whistleblower goes on record reveals emails from chief scientific officer amp senior director,0.0,0.0,neutral,0.0,1.0,0.0,0.0,3,3
12,1366412020237692929,SCOTTHOOKER18,1445916954624155652,@dglen44 @t_tienken @FoxNews Does catching Covid have long term effects?,,2021-10-07 01:00:40+00:00,tienken does catching covid have long term effects,0.27499999999999997,0.65,neutral,0.0,1.0,0.0,0.0,4,4
13,24583620,optikool,1445915377414799364,"@TuckerCarlson @foxnation @FoxNews #Tuckums, you planning on getting that BOOSTER SHOT when it's available to you t… https://t.co/ZndajPBMk3",,2021-10-07 00:54:24+00:00,tuckums you planning on getting that booster shot when it s available to you t,0.4,0.4,neutral,0.0,1.0,0.0,0.0,2,2
14,432499346,anthonyt9874,1445914938837331969,YO everybody @FoxNews has a more STRICTER mandate for COVID-19 VACCINE than even @POTUS did where everyone @FoxNews… https://t.co/4Hz2xjUF1u,,2021-10-07 00:52:39+00:00,yo everybody has a more stricter mandate for covid 19 vaccine than even did where everyone,0.5,0.5,neutral,0.0,1.0,0.0,0.0,4,4
15,1433461512866254853,Kinring5,1445914778141089800,"@FoxNews PFIZER LEAKS: Whistleblower Goes On Record, Reveals Emails from Chief Scientific Officer &amp; Senior Director… https://t.co/c4zVCSPINm",,2021-10-07 00:52:01+00:00,pfizer leaks whistleblower goes on record reveals emails from chief scientific officer amp senior director,0.0,0.0,neutral,0.0,1.0,0.0,0.0,3,3
16,1433554491928834051,Truth_in_Number,1445909124483481600,"@CRLA25 @WBrandt21 @Detroit341 @FoxNews There's medical researchers and scientists, not you, that have complied loa… https://t.co/ShyZ0BMhzl",,2021-10-07 00:29:33+00:00,there s medical researchers and scientists not you that have complied loa,0.0,0.0,neutral,0.0,1.0,0.0,0.0,6,6
17,142546462,power2people616,1445908864965103617,@FoxNews She meant because she has a Republican here. Meaning most likely not masked abs unvaxxed. I mask up when n… https://t.co/G58tKIkUSk,,2021-10-07 00:28:31+00:00,she meant because she has a republican here meaning most likely not masked abs unvaxxed i mask up when n,0.25,0.75,neutral,0.0,1.0,0.0,0.0,0,0
18,420624700,GME_KCSniper,1445905526940790785,@SheIsRachele @FoxNews The difference is COVID is already existing in animals. Any disease that can spread in the a… https://t.co/izewKatjjY,,2021-10-07 00:15:15+00:00,the difference is covid is already existing in animals any disease that can spread in the a,0.0,0.0,neutral,0.0,1.0,0.0,0.0,6,6
19,1402687048952152064,ThinkTh25949813,1445905252809523204,"@TheOneMalsGal @aidancwest @loggie31 @FoxNews Stimulus -$391 billion
 COVID-19 vaccine -$19.3 billion in funding

T… https://t.co/MUtEqZLcT3",,2021-10-07 00:14:10+00:00,stimulus 391 billion covid 19 vaccine 19 3 billion in funding t,0.0,0.0,neutral,0.0,1.0,0.0,0.0,6,6
